DateTime,Age of Empires II Definitive Edition-LTU,age of wonders 4-LTU,BattleTech-LTU,Company of Heroes 3-LTU,Crusader Kings III-LTU,Dota2-LTU,Europa Universalis IV-LTU,Hearts of Iron IV-LTU,Iron Harvest-LTU,Mechabellum-LTU,Sid Meier's Civilization IV-LTU,SMITE®-LTU,Space Gears Playtest-LTU,Starship Troopers Terran Command-LTU,Stellaris-LTU,Supreme Commander Forged Alliance-LTU,Total War WARHAMMER III-LTU,Steam-LTU,Steam-In-Game
2004-01-13 00:00:00,,,,,,,,,,,,,,,,,,84998.0,
2004-01-14 00:00:00,,,,,,,,,,,,,,,,,,,
2004-01-15 00:00:00,,,,,,,,,,,,,,,,,,,
2004-01-16 00:00:00,,,,,,,,,,,,,,,,,,,
2004-01-17 00:00:00,,,,,,,,,,,,,,,,,,,
2004-01-18 00:00:00,,,,,,,,,,,,,,,,,,,
2004-01-19 00:00:00,,,,,,,,,,,,,,,,,,,
2004-01-20 00:00:00,,,,,,,,,,,,,,,,,,,
2004-01-21 00:00:00,,,,,,,,,,,,,,,,,,,
2004-01-22 00:00:00,,,,,,,,,,,,,,,,,,,
2004-01-23 00:00:00,,,,,,,,,,,,,,,,,,,
2004-01-24 00:00:00,,,,,,,,,,,,,,,,,,,
2004-01-25 00:00:00,,,,,,,,,,,,,,,,,,,
2004-01-26 00:00:00,,,,,,,,,,,,,,,,,,,
2004-01-27 00:00:00,,,,,,,,,,,,,,,,,,,
2004-01-28 00:00:00,,,,,,,,,,,,,,,,,,,
2004-01-29 00:00:00,,,,,,,,,,,,,,,,,,,
2004-01-30 00:00:00,,,,,,,,,,,,,,,,,,,
2004-01-31 00:00:00,,,,,,,,,,,,,,,,,,,
2004-02-01 00:00:00,,,,,,,,,,,,,,,,,,,
2004-02-02 00:00:00,,,,,,,,,,,,,,,,,,,
2004-02-03 00:00:00,,,,,,,,,,,,,,,,,,,
2004-02-04 00:00:00,,,,,,,,,,,,,,,,,,,
2004-02-05 00:00:00,,,,,,,,,,,,,,,,,,,
2004-02-06 00:00:00,,,,,,,,,,,,,,,,,,,
2004-02-07 00:00:00,,,,,,,,,,,,,,,,,,,
2004-02-08 00:00:00,,,,,,,,,,,,,,,,,,,
2004-02-09 00:00:00,,,,,,,,,,,,,,,,,,,
2004-02-10 00:00:00,,,,,,,,,,,,,,,,,,,
2004-02-11 00:00:00,,,,,,,,,,,,,,,,,,,
2004-02-12 00:00:00,,,,,,,,,,,,,,,,,,,
2004-02-13 00:00:00,,,,,,,,,,,,,,,,,,,
2004-02-14 00:00:00,,,,,,,,,,,,,,,,,,,
2004-02-15 00:00:00,,,,,,,,,,,,,,,,,,,
2004-02-16 00:00:00,,,,,,,,,,,,,,,,,,,
2004-02-17 00:00:00,,,,,,,,,,,,,,,,,,,
2004-02-18 00:00:00,,,,,,,,,,,,,,,,,,,
2004-02-19 00:00:00,,,,,,,,,,,,,,,,,,,
2004-02-20 00:00:00,,,,,,,,,,,,,,,,,,,
2004-02-21 00:00:00,,,,,,,,,,,,,,,,,,,
2004-02-22 00:00:00,,,,,,,,,,,,,,,,,,,
2004-02-23 00:00:00,,,,,,,,,,,,,,,,,,,
2004-02-24 00:00:00,,,,,,,,,,,,,,,,,,,
2004-02-25 00:00:00,,,,,,,,,,,,,,,,,,,
2004-02-26 00:00:00,,,,,,,,,,,,,,,,,,,
2004-02-27 00:00:00,,,,,,,,,,,,,,,,,,,
2004-02-28 00:00:00,,,,,,,,,,,,,,,,,,,
2004-02-29 00:00:00,,,,,,,,,,,,,,,,,,,
2004-03-01 00:00:00,,,,,,,,,,,,,,,,,,,
